En,Es
adaptation,adaptación
animalia,animalia
carbon,carbono
climate change,cambio climático
comparative study,estudio comparativo
conceptual framework,marco conceptual
ecology,ecología
empirical analysis,análisis empírico
environment,medio ambiente
protection,protección
growth,crecimiento
life cycle,ciclo vida
pacific ocean,océano pacífico
pollution,contaminación
population statistics,estadísticas de población
survival,supervivencia
sustainable,sostenible
theoretical study,estudio teórico
ecosystem,ecosistema
degrowth,decrecimiento
symbio,simbio
capital,capital
complex system,sistema complejo
mitosis,mitosis
meiosis,meiosis
resilience,resiliencia
develop,desarrollo
food,comida
live,vida
gaia,gaia
natural,natural
human,humano
ethic,ética
computer,ordenador
cyber,ciber
epistem,epistem
plant,planta
fungi,hongo
bacteria,bacteria
animal,animal
equilibrium,equilibrio
punctuated,puntuado
evolution,evolución
synthetic,sintética
darwin,darwin
soil,suelo
energy,energía
sun,sol
entropy,entropía
artificial,artificial
eukaryota,eucariota
Margulis,Margulis
Vernadsky,Vernadsky
mediation,mediación
purification,purificación
medium,medium
moon,luna
collapse,colapso
civilization,civilización
tree,árbol
atmosphere,atmósfera
living being,ser vivo
inert,inerte
imagination,imaginación
creativity,creatividad
movement,movimiento
feel,sentir
cycle,ciclo
earth,tierra
intelligence,inteligencia
paradigm,paradigma
biosphere,biosfera
wealth,riqueza
renewable,renovable
ecology,ecología
biodiversity,biodiversidad
geodiversity,geodiversidad
forest,bosque
aquatic,acuatico
homeostasis,Homeostasis
biota,biota
food,comida
nutrient,nutriente
economy,economía
hydrosphere,hidrosfera
 oil,petróleo
continental,continental
marine,marino
salinity,salinidad
predation,depredación
animal,animal
vegetal,vegetal
extinction,extinción
habitat,hábitat
trophic,trófico
restoration,restauración
invasion,invasión
rhizome,rizoma
competition,competencia
market,mercado
narrative,relato
metadata,metadatos
data,datos
willpower,voluntad
kraft,kraft
